Commodity Name,City Name,Package,Date,Low Price,High Price,Origin,Color,ItemSizeR,VarietyR
PUMPKINS,DETROIT,24 inch bins,9/16/2017,95,95,MICHIGAN,,3,1
PUMPKINS,DETROIT,24 inch bins,9/16/2017,94,95,MICHIGAN,,2,1
PUMPKINS,DETROIT,24 inch bins,9/23/2017,95,95,MICHIGAN,,3,1
PUMPKINS,DETROIT,24 inch bins,9/23/2017,94,95,MICHIGAN,,2,1
PUMPKINS,DETROIT,bins,9/23/2017,175,175,MICHIGAN,,4,1
PUMPKINS,DETROIT,bins,9/23/2017,95,95,MICHIGAN,,3,1
PUMPKINS,DETROIT,bins,9/30/2017,175,175,MICHIGAN,,4,1
PUMPKINS,DETROIT,bins,9/30/2017,95,95,MICHIGAN,,3,1
PUMPKINS,DETROIT,24 inch bins,10/22/2016,100,100,MICHIGAN,WHITE,6,12
PUMPKINS,DETROIT,24 inch bins,10/29/2016,100,100,MICHIGAN,WHITE,6,12
PUMPKINS,DETROIT,1 1/9 bushel cartons,10/22/2016,12,12,MICHIGAN,ORANGE,2,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,10/29/2016,12,12,MICHIGAN,ORANGE,2,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,11/5/2016,12,12,MICHIGAN,ORANGE,2,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/9/2017,22,22,OHIO,,1,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/16/2017,20,20,MICHIGAN,,1,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/16/2017,22,22,OHIO,,1,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/23/2017,15,20,MICHIGAN,,1,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/30/2017,15,15,MICHIGAN,,1,4
PUMPKINS,DETROIT,24 inch bins,9/24/2016,150,150,MICHIGAN,,3,4
PUMPKINS,DETROIT,24 inch bins,9/24/2016,175,175,MICHIGAN,,1,4
PUMPKINS,DETROIT,24 inch bins,10/1/2016,150,150,MICHIGAN,,3,4
PUMPKINS,DETROIT,24 inch bins,10/1/2016,175,175,MICHIGAN,,1,4
PUMPKINS,DETROIT,24 inch bins,10/8/2016,100,115,MICHIGAN,ORANGE,3,4
PUMPKINS,DETROIT,24 inch bins,10/8/2016,150,150,MICHIGAN,ORANGE,1,4
PUMPKINS,DETROIT,24 inch bins,10/15/2016,100,115,MICHIGAN,ORANGE,3,4
PUMPKINS,DETROIT,24 inch bins,10/15/2016,150,150,MICHIGAN,ORANGE,1,4
PUMPKINS,DETROIT,24 inch bins,10/22/2016,115,120,MICHIGAN,ORANGE,3,4
PUMPKINS,DETROIT,24 inch bins,10/22/2016,150,150,MICHIGAN,ORANGE,1,4
PUMPKINS,DETROIT,24 inch bins,10/29/2016,115,120,MICHIGAN,ORANGE,3,4
PUMPKINS,DETROIT,24 inch bins,10/29/2016,150,150,MICHIGAN,ORANGE,1,4
PUMPKINS,DETROIT,24 inch bins,11/5/2016,115,120,MICHIGAN,ORANGE,3,4
PUMPKINS,DETROIT,24 inch bins,11/5/2016,150,150,MICHIGAN,ORANGE,1,4
PUMPKINS,DETROIT,24 inch bins,9/16/2017,149,150,MICHIGAN,,1,4
PUMPKINS,DETROIT,24 inch bins,9/23/2017,149,150,MICHIGAN,,1,4
PUMPKINS,DETROIT,bins,9/23/2017,175,175,MICHIGAN,,1,4
PUMPKINS,DETROIT,bins,9/30/2017,175,175,MICHIGAN,,1,4
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/16/2017,20,20,MICHIGAN,,1,7
PUMPKINS,DETROIT,1 1/9 bushel cartons,9/23/2017,20,20,MICHIGAN,,1,7
PUMPKINS,DETROIT,24 inch bins,9/24/2016,150,150,MICHIGAN,,2,7
PUMPKINS,DETROIT,24 inch bins,10/1/2016,150,150,MICHIGAN,,2,7
PUMPKINS,DETROIT,24 inch bins,10/8/2016,150,150,MICHIGAN,,2,7
PUMPKINS,DETROIT,24 inch bins,10/15/2016,150,150,MICHIGAN,,2,7
PUMPKINS,DETROIT,24 inch bins,10/22/2016,135,135,MICHIGAN,,2,7
PUMPKINS,DETROIT,24 inch bins,10/29/2016,135,135,MICHIGAN,,2,7
PUMPKINS,CHICAGO,24 inch bins,9/16/2017,200,225,CANADA,ORANGE,3,1
PUMPKINS,CHICAGO,24 inch bins,9/16/2017,200,220,ILLINOIS,ORANGE,3,1
PUMPKINS,CHICAGO,24 inch bins,9/23/2017,200,225,CANADA,ORANGE,3,1
PUMPKINS,CHICAGO,24 inch bins,9/23/2017,200,220,ILLINOIS,ORANGE,3,1
PUMPKINS,CHICAGO,24 inch bins,9/30/2017,200,225,CANADA,ORANGE,3,1
PUMPKINS,CHICAGO,24 inch bins,9/30/2017,200,220,ILLINOIS,ORANGE,3,1
PUMPKINS,CHICAGO,36 inch bins,9/24/2016,135,135,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,9/24/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/1/2016,130,135,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/1/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/8/2016,130,130,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/8/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/15/2016,130,135,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/15/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/15/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,10/22/2016,130,135,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/22/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/22/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,10/29/2016,125,135,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/29/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,10/29/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,11/5/2016,125,130,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/5/2016,130,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/5/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,11/12/2016,125,130,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/12/2016,120,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/12/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,11/19/2016,125,130,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/19/2016,100,130,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/19/2016,60,60,OHIO,,4,1
PUMPKINS,CHICAGO,36 inch bins,11/26/2016,125,125,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,11/26/2016,100,125,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,12/3/2016,125,125,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,12/3/2016,100,125,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,12/10/2016,125,125,ILLINOIS,,3,1
PUMPKINS,CHICAGO,36 inch bins,12/10/2016,100,125,MICHIGAN,,3,1
PUMPKINS,CHICAGO,36 inch bins,9/23/2017,170,170,MICHIGAN,,4,1
PUMPKINS,CHICAGO,36 inch bins,9/30/2017,170,170,MICHIGAN,,4,1
PUMPKINS,CHICAGO,24 inch bins,9/2/2017,200,200,ILLINOIS,,6,12
PUMPKINS,CHICAGO,24 inch bins,9/9/2017,200,200,ILLINOIS,,6,12
PUMPKINS,CHICAGO,24 inch bins,9/16/2017,200,200,ILLINOIS,,6,12
PUMPKINS,CHICAGO,24 inch bins,9/23/2017,200,200,ILLINOIS,,6,12
PUMPKINS,CHICAGO,24 inch bins,9/30/2017,200,200,ILLINOIS,,6,12
PUMPKINS,CHICAGO,36 inch bins,9/24/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,10/1/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,10/8/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,10/15/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,10/22/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,10/29/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,11/5/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,11/12/2016,150,150,ILLINOIS,,3,12
PUMPKINS,CHICAGO,36 inch bins,9/24/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,10/1/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,10/8/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,10/15/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,10/22/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,10/29/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,11/5/2016,200,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,11/12/2016,185,200,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,11/19/2016,185,185,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,11/26/2016,185,185,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,12/3/2016,185,185,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,12/10/2016,185,185,ILLINOIS,,2,3
PUMPKINS,CHICAGO,36 inch bins,12/10/2016,185,185,MICHIGAN,,2,3
PUMPKINS,CHICAGO,36 inch bins,1/7/2017,185,185,MEXICO,,3,3
PUMPKINS,CHICAGO,36 inch bins,1/14/2017,185,185,MEXICO,,3,3
PUMPKINS,CHICAGO,36 inch bins,1/21/2017,185,185,MEXICO,,3,3
PUMPKINS,CHICAGO,36 inch bins,1/28/2017,185,185,MEXICO,,3,3
PUMPKINS,CHICAGO,36 inch bins,2/4/2017,210,225,MEXICO,,3,3
