Commodity Name,City Name,Package,Date,Low Price,High Price,Origin,Color,ItemSizeR,VarietyR
PUMPKINS,DALLAS,24 inch bins,9/16/2017,160,225,TEXAS,,3,0
PUMPKINS,DALLAS,24 inch bins,9/23/2017,160,225,TEXAS,,3,0
PUMPKINS,DALLAS,24 inch bins,9/30/2017,160,225,TEXAS,,3,0
PUMPKINS,DALLAS,24 inch bins,9/24/2016,160,160,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,9/24/2016,150,150,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,9/24/2016,150,150,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,10/1/2016,150,160,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,10/1/2016,125,150,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,10/1/2016,125,150,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,10/8/2016,150,150,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,10/8/2016,125,150,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,10/8/2016,125,125,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,10/15/2016,150,150,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,10/15/2016,125,150,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,10/15/2016,125,125,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,10/22/2016,150,150,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,10/22/2016,125,150,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,10/22/2016,125,125,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,10/29/2016,115,120,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,10/29/2016,100,120,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,10/29/2016,120,120,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,11/5/2016,115,115,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,11/5/2016,100,100,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,11/5/2016,120,120,TEXAS,,1,1
PUMPKINS,DALLAS,24 inch bins,9/16/2017,160,160,TEXAS,,3,1
PUMPKINS,DALLAS,24 inch bins,9/16/2017,150,160,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,9/23/2017,170,170,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,9/23/2017,160,160,TEXAS,,3,1
PUMPKINS,DALLAS,24 inch bins,9/23/2017,150,160,TEXAS,,2,1
PUMPKINS,DALLAS,24 inch bins,9/30/2017,170,170,TEXAS,,5,1
PUMPKINS,DALLAS,24 inch bins,9/30/2017,170,170,TEXAS,,4,1
PUMPKINS,DALLAS,24 inch bins,9/30/2017,125,160,TEXAS,,3,1
PUMPKINS,DALLAS,24 inch bins,9/30/2017,125,160,TEXAS,,6,1
PUMPKINS,DALLAS,24 inch bins,9/30/2017,125,160,TEXAS,,2,1
PUMPKINS,DALLAS,36 inch bins,9/24/2016,170,170,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,10/1/2016,160,170,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,10/8/2016,160,160,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,10/15/2016,160,160,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,10/22/2016,160,160,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,10/29/2016,120,140,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,11/5/2016,120,120,TEXAS,,5,1
PUMPKINS,DALLAS,36 inch bins,9/16/2017,165,165,MEXICO,,3,1
PUMPKINS,DALLAS,36 inch bins,9/16/2017,150,150,MEXICO,,6,1
PUMPKINS,DALLAS,36 inch bins,9/23/2017,165,165,MEXICO,,3,1
PUMPKINS,DALLAS,36 inch bins,9/23/2017,150,150,MEXICO,,6,1
PUMPKINS,DALLAS,36 inch bins,9/23/2017,150,150,TEXAS,,6,1
PUMPKINS,DALLAS,36 inch bins,9/30/2017,165,165,MEXICO,,3,1
PUMPKINS,DALLAS,36 inch bins,9/30/2017,150,150,MEXICO,,6,1
PUMPKINS,DALLAS,36 inch bins,9/30/2017,150,150,TEXAS,,6,1
PUMPKINS,DALLAS,24 inch bins,9/24/2016,160,160,TEXAS,,5,12
PUMPKINS,DALLAS,24 inch bins,10/1/2016,150,160,TEXAS,,5,12
PUMPKINS,DALLAS,24 inch bins,10/8/2016,150,150,TEXAS,,5,12
PUMPKINS,DALLAS,24 inch bins,10/15/2016,150,150,TEXAS,,5,12
PUMPKINS,DALLAS,24 inch bins,10/22/2016,150,150,TEXAS,,5,12
